NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
8001;Установка поездных маршрутов;Нечетный прием по Н с НГП на IАП путь;НП-НГП-IАП;0;8;1;1;0;0;0;0;0;0;EFREMOV;41;31;0;@свтН;@свтЧ1А;;;;;;0;0;;0;;;0; 0x0101;0;
8002;Установка поездных маршрутов;Нечетный прием по Н с НГП на 2АП путь;НП-НГП-2АП;0;8;1;2;0;0;0;0;0;0;EFREMOV;41;32;0;@свтН;@свтЧ2А;;;;;;0;0;;0;;;0; 0x0102;0;
8003;Установка поездных маршрутов;Четное отправление по Ч1А с IАП пути на НГП;ЧО-IАП-НГП;0;8;1;3;0;0;0;0;0;0;EFREMOV;31;41;0;@свтЧ1А;@свтН;;;;;;0;0;;0;;;0; 0x0103;0;
8004;Установка поездных маршрутов;Четное отправление по Ч2А с 2АП пути на НГП;ЧО-2АП-НГП;0;8;1;4;0;0;0;0;0;0;EFREMOV;32;41;0;@свтЧ2А;@свтН;;;;;;0;0;;0;;;0; 0x0104;0;
8005;Установка поездных маршрутов;Четный прием по Ч c ЧГП на IП путь;ЧП-ЧГП-IП;0;8;1;5;0;0;0;0;0;0;EFREMOV;11;21;0;@свтЧ;@свтН1;;;;;;0;0;;0;;;0; 0x0105;0;
8006;Установка поездных маршрутов;Четный прием по Ч c ЧГП на 2П путь;ЧП-ЧГП-2П;0;8;1;6;0;0;0;0;0;0;EFREMOV;11;22;0;@свтЧ;@свтН2;;;;;;0;0;;0;;;0; 0x0106;0;
8007;Установка поездных маршрутов;Нечетное отправление по Н1 с IП пути на ЧГП;НО-IП-ЧГП;0;8;1;7;0;0;0;0;0;0;EFREMOV;21;11;0;@свтН1;@свтЧ;;;;;;0;0;;0;;;0; 0x0107;0;
8008;Установка поездных маршрутов;Нечетное отправление по Н2 с 2П пути на ЧГП;НО-2П-ЧГП;0;8;1;8;0;0;0;0;0;0;EFREMOV;22;11;0;@свтН2;@свтЧ;;;;;;0;0;;0;;;0; 0x0108;0;
8009;Установка поездных маршрутов;Передача по НМ1А с IАП пути на IП путь;ПР-IАП-IП;0;8;1;9;0;0;0;0;0;0;EFREMOV;81;51;0;@свтНм1А;@свтЧм1;;;;;;0;0;;0;;;0; 0x0109;0;
8010;Установка поездных маршрутов;Передача по НМ1А с IАП пути на 2П путь;ПР-IАП-2П;0;8;1;10;0;0;0;0;0;0;EFREMOV;81;52;0;@свтНм1А;@свтЧм2;;;;;;0;0;;0;;;0; 0x010A;0;
8011;Установка поездных маршрутов;Передача по НМ2А с 2АП пути на IП путь;ПР-2АП-IП;0;8;1;11;0;0;0;0;0;0;EFREMOV;82;51;0;@свтНм2А;@свтЧм1;;;;;;0;0;;0;;;0; 0x010B;0;
8012;Установка поездных маршрутов;Передача по НМ2А с 2АП пути на 2П путь;ПР-2АП-2П;0;8;1;12;0;0;0;0;0;0;EFREMOV;82;52;0;@свтНм2А;@свтЧм2;;;;;;0;0;;0;;;0; 0x010C;0;
8013;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на IАП путь;ПР-IП-IАП;0;8;1;13;0;0;0;0;0;0;EFREMOV;51;81;0;@свтЧм1;@свтНм1А;;;;;;0;0;;0;;;0; 0x010D;0;
8014;Установка поездных маршрутов;Передача по ЧМ1 с IП пути на 2АП путь;ПР-IП-2АП;0;8;1;14;0;0;0;0;0;0;EFREMOV;51;82;0;@свтЧм1;@свтНм2А;;;;;;0;0;;0;;;0; 0x010E;0;
8015;Установка поездных маршрутов;Передача по ЧМ2 с 2П пути на IАП путь;ПР-2П-IАП;0;8;1;15;0;0;0;0;0;0;EFREMOV;52;81;0;@свтЧм2;@свтНм1А;;;;;;0;0;;0;;;0; 0x010F;0;
8016;Установка поездных маршрутов;Передача по ЧМ2 с 2П пути на 2АП путь;ПР-2П-2АП;0;8;1;16;0;0;0;0;0;0;EFREMOV;52;82;0;@свтЧм2;@свтНм2А;;;;;;0;0;;0;;;0; 0x0110;0;
8017;Установка маневровых маршрутов;По светофору М1 на IАП путь;ММ1-IАП;0;8;3;1;0;0;0;0;0;0;EFREMOV;0;0;0;@свтМ1;@свтмЧ1А;;;;;;0;0;;0;;;0; 0x0301;0;
8018;Установка маневровых маршрутов;По светофору М1 на 2АП путь;ММ1-2АП;0;8;3;2;0;0;0;0;0;0;EFREMOV;0;0;0;@свтМ1;@свтмЧ2А;;;;;;0;0;;0;;;0; 0x0302;0;
8019;Установка маневровых маршрутов;По светофору Н1 за светофор М2;МН1-М2;0;8;3;3;0;0;0;0;0;0;EFREMOV;0;0;0;@свтмН1;@свтМ2;;;;;;0;0;;0;;;0; 0x0303;0;
8020;Установка маневровых маршрутов;По светофору Н1 за светофор М4;МН1-М4;0;8;3;4;0;0;0;0;0;0;EFREMOV;0;0;0;@свтмН1;@свтМ4;;;;;;0;0;;0;;;0; 0x0304;0;
8021;Установка маневровых маршрутов;По светофору Н2 за светофор М2;МН2-М2;0;8;3;5;0;0;0;0;0;0;EFREMOV;0;0;0;@свтмН2;@свтМ2;;;;;;0;0;;0;;;0; 0x0305;0;
8022;Установка маневровых маршрутов;По светофору Н2 за светофор М4;МН2-М4;0;8;3;6;0;0;0;0;0;0;EFREMOV;0;0;0;@свтмН2;@свтМ4;;;;;;0;0;;0;;;0; 0x0306;0;
8023;Установка маневровых маршрутов;По светофору НМ1А на IП путь;МНМ1А-IП;0;8;3;7;0;0;0;0;0;0;EFREMOV;0;0;0;@свтмНм1А;@свтмЧм1;;;;;;0;0;;0;;;0; 0x0307;0;
8024;Установка маневровых маршрутов;По светофору НМ1А на 2П путь;МНМ1А-2П;0;8;3;8;0;0;0;0;0;0;EFREMOV;0;0;0;@свтмНм1А;@свтмЧм2;;;;;;0;0;;0;;;0; 0x0308;0;
8025;Установка маневровых маршрутов;По светофору НМ2А на IП путь;МНМ2А-IП;0;8;3;9;0;0;0;0;0;0;EFREMOV;0;0;0;@свтмНм2А;@свтмЧм1;;;;;;0;0;;0;;;0; 0x0309;0;
